,FORMAT DATE SAS,FORMAT DATETIME STRING DATETIME,Result,Computed results
0,DATEw.,%d%b%y,"""17MAR00""",'17Mar00'
1,DATE9.,%d%b%Ya,"""17MAR2000a""",'17Mar2000a'
2,DAYw.,%d,"""17""",'17'
3,DDMMYYw.,%d/%m/%Y,"""17/03/2000""",'17/03/2000'
4,DDMMYY10.,%d/%m/%Y,"""17/03/2000""",'17/03/2000'
5,DDMMYYBw.,%d %m %y,"""17 03 00""",'17 03 00'
6,DDMMYYB10.,%d %m %Y,"""17 03 2000""",'17 03 2000'
7,DDMMYYDw.,%d/%m/%Y,"""17/03/2000""",'17/03/2000'
8,DDMMYYD10.,%d/%m/%Y,"""17/03/2000""",'17/03/2000'
9,DDMMYYNw.,%d%b%y,"""17MAR00""",'17Mar00'
10,DDMMYYN10,%d%b%Y,"""17MAR2000""",'17Mar2000'
11,DDMMYYPw.,%d.%m.%y,"""17.03.00""",'17.03.00'
12,DDMMYYP10.,%d.%m.%Y,"""17.03.2000""",'17.03.2000'
13,DDMMYYSw.,%d/%m/%Y,"""17/03/2000""",'17/03/2000'
14,DDMMYYS10.,%d/%m/%Y,"""17/03/2000""",'17/03/2000'
15,DOWNAME.,%A,Friday,'Friday'
16,EURDFDEw.,%d%b%y,"""17MAR00""",'17Mar00'
17,EURDFDE9.,%d%b%Y,"""17MAR2000""",'17Mar2000'
18,EURDFDNw.,%w ,5,'5 '
19,EURDFDWNw.,%A,Friday,'Friday'
20,EURDFMYw.,%b%y,"""MAR00""",'Mar00'
21,EURDFDMY7,%b%Y,"""MAR2000""",'Mar2000'
22,EURDFWDXw.,%d%b%Y,"""17MAR2000""",'17Mar2000'
23,EURDFMNw.,%B,March,'March'
24,EURDFWKXw.,"%A, %d %b %Y","""Friday, 17 MAR 2000""","'Friday, 17 Mar 2000'"
25,MMDDYYw.,%m/%d/%y,"""03/17/00""",'03/17/00'
26,MMDDYY10.,%m/%d/%Y,"""03/17/2000""",'03/17/2000'
27,MMDDYYBw.,%m %d %y,"""03 17 00""",'03 17 00'
28,MMDDYYB10.w.,%m %d %Y,"""03 17 2000""",'03 17 2000'
29,MMDDYYCw.,%m:%d:%y,"""03:17:00""",'03:17:00'
30,MMDDYYDw.,%m-%d-%y,"""03-17-00""",'03-17-00'
31,MMDDYYD10.,%m-%d-%Y,"""03-17-2000""",'03-17-2000'
32,MMDDYYP,%m.%d.%y,"""03.17.00""",'03.17.00'
33,MMDDYYP10.,%m.%d.%Y,"""03.17.2000""",'03.17.2000'
34,MMDDYYS,%m/%d/%y,"""03/17/00""",'03/17/00'
35,MMDDYYS10.,%m/%d/%Y,"""03/17/2000""",'03/17/2000'
36,MMYY.xw.,%mM%Y,"""03M2000""",'03M2000'
37,MMYYCw.,%m:%Y,"""03:2000""",'03:2000'
38,MMYYD.,%m-%Y,"""03-2000""",'03-2000'
39,MMYYN.,%m%Y,"""032000""",'032000'
40,MMYYP.,%m.%Y,"""03.2000""",'03.2000'
41,MMYYS.,%m/%Y,"""03/2000""",'03/2000'
42,MONNAME.,%B,March,'March'
43,MONTH.,%#m,3,'3'
44,MONYY.,%b%Y,"""MAR2000""",'Mar2000'
45,TIMEw.d,%#H:%M:%S,"""4:04:46""",'4:04:46'
46,TIMEAMPMw.d,%#H:%M:%S %p,"""4:04:46 AM""",'4:04:46 AM'
47,TOD,%#H:%M:%S,"""4:04:46""",'4:04:46'
48,WEEKDATEw.,"%A, %B %d, %Y","""Friday, March 17, 2000""","'Friday, March 17, 2000'"
49,WEEKDAYw.,%w + 1,6,'5 + 1'
50,WORDDATE.w.,"%B %d, %Y","""March 17, 2000""","'March 17, 2000'"
51,WORDDATXw.,%d %B %Y,"""17 MARCH 2000""",'17 March 2000'
52,YEARw.,%Y,"""2000""",'2000'
53,YYMMw.,%YM%m,"""2000M03""",'2000M03'
54,YYMMCw.,%Y:%m:00,"""2000:03""",'2000:03:00'
55,YYMMDDw.,%Y-%m,"""2000-03""",'2000-03'
56,YYMMPw.,%Y.%m,"""2000.03""",'2000.03'
57,YYMMS.,%Y/%m,"""2000/03""",'2000/03'
58,YYMMN.,%Y%m,"""200003""",'200003'
59,YYMMDDw.,%y-%m-%d,"""00-03-17""",'00-03-17'
60,YYMON.,%Y%b,"""2000MAR""",'2000Mar'
